case_id,outcome_class,forward_return_3yr,score_run1,score_run2,score_run3,score_median,score_mean,score_std,trajectory_majority
MC-ARW-2022-03-31,trap,-0.1248,3.0,3.0,3.3,3.0,3.1,0.141,stable
MC-BILL-2022-03-31,trap,-0.7977,3.2,2.8,3.0,3.0,3.0,0.163,"Roughly stable with growth-related complexity expansion. Revenue grew strongly from $157.6M to $238.3M and TPV from $96.5B to $140.3B, demonstrating continued business momentum. However, the risk profile expanded considerably through acquisitions: the Divvy acquisition introduced new risk categories around corporate card fraud, partner bank dependencies, and credit losses from spending businesses. The pending Invoice2go acquisition adds integration and execution risk. The addition of a risk factor summary section suggests growing complexity requiring better investor communication. The company still carries operating losses and accumulated deficit, though these are typical for a high-growth fintech at this stage. The risk evolution is characteristic of a scaling company taking on integration risk to fuel growth."
MC-CAR-2020-09-30,winner,5.8271,2.3,2.5,2.0,2.3,2.27,0.205,"Risk profile deteriorating modestly. The addition of coronavirus as a named travel disruption risk, the increase in risk vehicle fleet percentage from 62% to 66% (greater residual value exposure), new competitive threat from package delivery services in truck rental, and explicit addition of manufacturer insolvency/bankruptcy language all signal a worsening risk environment. The shift from forward-looking Brexit uncertainty to realized-but-unclear Brexit implications adds another layer. The core competitive and fleet cost risks remain largely unchanged in structure but the overlay of emerging pandemic risk and expanded competitive threats pushes this toward meaningful deterioration."
MC-CAR-2022-03-31,trap,-0.7117,3.5,3.2,3.2,3.2,3.3,0.141,improving
MC-CUZ-2020-09-30,trap,-0.2875,3.1,3.2,3.2,3.2,3.17,0.047,stable
MC-CUZ-2022-03-31,trap,-0.2678,3.0,3.0,2.8,3.0,2.93,0.094,stable
MC-ESTC-2020-09-30,trap,-0.247,2.3,2.4,2.4,2.4,2.37,0.047,deteriorating
MC-ESTC-2022-03-31,underperform,0.0017,3.3,3.0,3.5,3.3,3.27,0.205,"Slightly improving risk profile with notable offsets. Key positives: customer count grew from 11,300+ to 15,000+, net loss narrowed from $167.2M to $129.4M showing improving unit economics, and the company shifted from moderating hiring pace to actively growing headcount (confidence signal). The addition of a risk factor summary section reflects maturation of disclosure practices. Key negatives: the licensing change risk (no longer offering Elasticsearch/Kibana under open source license) is a significant new strategic risk that could harm adoption and community goodwill. Accumulated deficit grew to $613.3M. The competitive landscape evolved with Azure Sentinel appearing and Amazon AWS language shifting to reflect licensing dispute. COVID-19 language was carried forward with minor changes. Net assessment leans slightly positive on operational metrics improvement."
MC-HIW-2022-03-31,trap,-0.352,3.2,3.1,3.1,3.1,3.13,0.047,stable
MC-KBR-2020-09-30,winner,1.636,3.1,3.3,3.5,3.3,3.3,0.163,stable
MC-KRC-2020-09-30,trap,-0.3916,3.2,3.4,3.2,3.2,3.27,0.094,stable
MC-LAZ-2020-09-30,trap,-0.0617,3.0,3.0,3.0,3.0,3.0,0.0,stable
MC-MSM-2020-09-30,winner,0.551,3.0,3.1,3.1,3.1,3.07,0.047,stable
MC-MTN-2020-09-30,underperform,0.037,2.0,1.8,2.3,2.0,2.03,0.205,deteriorating
MC-MTN-2022-03-31,trap,-0.3852,3.4,3.3,2.5,3.3,3.07,0.403,improving
MC-NVST-2022-03-31,trap,-0.6457,3.3,3.5,3.3,3.3,3.37,0.094,improving
MC-PK-2020-09-30,mixed,0.2332,3.0,3.4,2.8,3.0,3.07,0.249,stable
MC-PSN-2022-03-31,winner,0.53,2.8,3.0,2.9,2.9,2.9,0.082,stable
MC-REXR-2022-03-31,trap,-0.4751,3.1,3.6,3.5,3.5,3.4,0.216,stable
MC-THO-2022-03-31,trap,-0.0367,3.4,3.2,2.9,3.2,3.17,0.205,improving
MC-TKR-2020-09-30,mixed,0.3554,3.3,3.0,3.5,3.3,3.27,0.205,"Mixed signal profile that leans slightly positive. The most significant quantitative change is the dramatic reduction in trailing 5-year impairment and restructuring charges from ~$159M to ~$52M, suggesting the company has completed significant operational rationalization and is in a healthier position. However, this is offset by the addition of several new risk categories: customer inventory de-stocking risk, data privacy and regulatory compliance risks, credit rating maintenance risk, and enhanced warranty/brand reputation language. The expansion of IT security risks to cover third-party managed systems reflects growing attack surface awareness. Brexit moved from potential to realized. Net assessment is slightly positive due to the substantial improvement in restructuring charges outweighing the new but largely standard risk disclosures."
MC-TKR-2022-03-31,mixed,0.184,2.7,3.0,2.8,2.8,2.83,0.125,deteriorating
MC-VKTX-2020-09-30,winner,0.9021,3.0,2.8,3.0,3.0,2.93,0.094,stable
MC-VKTX-2022-03-31,winner,7.05,3.0,3.0,3.4,3.0,3.13,0.189,stable
