case_id,ticker,entry_date,outcome_class,forward_return_3yr,alpha_3yr,initial_trajectory,initial_confidence,enriched_trajectory,enriched_confidence,classification_changed,most_impactful_source,key_insight,form4_data_found,form4_summary,customer_conc_found,customer_conc_summary,management_14a_found,management_14a_summary
CASE-BIIB-2013-01-02-7553e7,BIIB,2013-01-02,winner,1.042,0.644,deteriorating,medium,deteriorating,low,false,NONE,No enrichment data found for any source; confidence downgraded to low due to absence of corroborating signals.,false,No Form 4 filings found in trailing 12 months.,false,No customer concentration language found in 10-K text.,false,No DEF 14A proxy statement found before entry date.
CASE-EXPE-2021-12-31-1312f8,EXPE,2021-12-31,underperform,0.026,-0.205,deteriorating,high,deteriorating,high,false,NONE,Insider trading direction is mixed with no clear buy/sell signals; management proxy shows no executive departures; deteriorating trajectory confirmed.,true,"75 Form 4 filings in trailing 12 months. Buy signals: 0, Sell signals: 0. Net direction: mixed.",false,No customer concentration language found in 10-K text.,true,"DEF 14A filed 2021-04-26. No obvious executive changes in compensation section. Excerpt: ""1 

Role of Peer Groups, Surveys and Benchmarking 

41 

Compensation Program Elements 

42 

Other Executive Compensation Practices and Policies 

48 

Change in Control 

49 

Severance 

49 

2021 Compensation Events 

50 

COMPENSATION COMMITTEE REPORT 

52 

EXECUTIVE COMPENSATION 

53 

20 20 Summary Compensation Table 

53 

20 20 Grants of Plan-Based Awards 

55 

Outstanding Equity Awards at 20 20 "
CASE-ADM-2021-12-31-cf4a10,ADM,2021-12-31,trap,-0.197,-0.428,deteriorating,medium,deteriorating,medium,false,MANAGEMENT,Executive changes detected in proxy but excerpt is standard compensation disclosure; mixed insider trading provides no directional signal; deteriorating view unchanged.,true,"107 Form 4 filings in trailing 12 months. Buy signals: 0, Sell signals: 0. Net direction: mixed.",false,No customer concentration language found in 10-K text.,true,"DEF 14A filed 2021-03-26. Executive changes detected in compensation section. Excerpt: ""ents 

Table of Contents 

COMPENSATION DISCUSSION AND
ANALYSIS 

29 

Executive Summary 

30 

How Executive Compensation is
Determined 

33 

Components of Executive Compensation 

34 

2020 Executive Compensation Decisions 

36 

Peer Group 

45 

Benefits 

46 

Compensation Policies and Governance 

47 

Employment Agreements, Severance, and Change in Control Benefits

48 

Compensation/Succession Commit"
CASE-APD-2021-01-04-ca034a,APD,2021-01-04,underperform,0.085,-0.186,stable,medium,stable,medium,false,NONE,"No executive changes detected, mixed insider trading, no customer concentration risk; stable trajectory confirmed with no new information.",true,"43 Form 4 filings in trailing 12 months. Buy signals: 0, Sell signals: 0. Net direction: mixed.",false,No customer concentration language found in 10-K text.,true,"DEF 14A filed 2020-12-09. No obvious executive changes in compensation section. Excerpt: ""rd Structure 

11 

Board Practices, Processes and Policies 

15 

Compensation of Directors 

16 

EXECUTIVE COMPENSATION 

19 

Proposal 2. 

Advisory Vote on Executive Officer Compensation 

19 

Report of the Management Development and Compensation Committee 

20 

Compensation Discussion and Analysis 

20 

Highlights of Fiscal 2020 Company Performance and Compensation Actions 

21 

Fiscal 2020 Execut"
CASE-WM-2013-01-02-349bad,WM,2013-01-02,winner,0.734,0.336,deteriorating,medium,deteriorating,low,false,NONE,No enrichment data available from any EDGAR source; confidence downgraded to low due to complete absence of corroborating data.,false,No Form 4 filings found in trailing 12 months.,false,No customer concentration language found in 10-K text.,false,No DEF 14A proxy statement found before entry date.
CASE-MDLZ-2021-12-31-8b9d57,MDLZ,2021-12-31,trap,-0.035,-0.266,deteriorating,high,deteriorating,high,false,CUSTOMER_CONCENTRATION,"Customer concentration references relate to COVID-driven channel shifts in traditional trade markets, adding incremental risk to the deteriorating trajectory.",true,"46 Form 4 filings in trailing 12 months. Buy signals: 0, Sell signals: 0. Net direction: mixed.",true,"Found 4 customer concentration references. Key excerpts: [1] ""cially for categories such as biscuits. Other parts of our business were negatively affected by mandated lockdowns and other related restrictions including some of our emerging markets with a greater concentration of traditional trade (such as small family-run stores) as well as our world travel ret..."" [2] ""w long this sustained demand will last or how significant it will be. We expect the COVID-19 outbreak to result in lower revenue",true,"DEF 14A filed 2021-04-07. No obvious executive changes in compensation section. Excerpt: ""irector nominees named in the Proxy Statement;

2.

To approve, on an advisory basis, the Company's executive compensation;

3.

To ratify the selection of PricewaterhouseCoopers LLP as the independent registered public accountants for the fiscal year ending December 31, 2021;

4.

To vote on one shareholder proposal if properly presented at the meeting; and

5.

To transact any other business properly pres"
CASE-VNO-2021-12-31-2438d1,VNO,2021-12-31,underperform,0.141,-0.09,deteriorating,high,deteriorating,high,false,MANAGEMENT,Executive changes detected in proxy filing reinforces deteriorating trajectory for this office REIT facing structural headwinds.,true,"21 Form 4 filings in trailing 12 months. Buy signals: 0, Sell signals: 0. Net direction: mixed.",false,No customer concentration language found in 10-K text.,true,"DEF 14A filed 2021-04-09. Executive changes detected in compensation section. Excerpt: ""iscal year. 

(3) 

To consider and vote upon the approval of a non-binding, advisory resolution on executive compensation. 

(4) 

To transact any other business as may properly come before the meeting and any postponement or adjournment of the meeting. 

The Board of Trustees of the Company has fixed the close of business on March 22, 2021 as the record date for the determination of shareholders entitled to"
CASE-WMT-2021-12-31-913fa4,WMT,2021-12-31,winner,0.947,0.716,stable,medium,stable,low,false,NONE,No enrichment data found; confidence downgraded to low as stable assessment rests entirely on initial trajectory with no EDGAR corroboration.,false,No Form 4 filings found in trailing 12 months.,false,No customer concentration language found in 10-K text.,false,No DEF 14A proxy statement found before entry date.
CASE-D-2021-01-04-531112,D,2021-01-04,trap,-0.258,-0.529,stable,medium,deteriorating,medium,true,CUSTOMER_CONCENTRATION,Credit risk concentration in energy marketing activities combined with massive capital project risk ($8B pipeline) shifts trajectory from stable to deteriorating.,true,"54 Form 4 filings in trailing 12 months. Buy signals: 0, Sell signals: 0. Net direction: mixed.",true,"Found 4 customer concentration references. Key excerpts: [1] ""Credit Risk 

Dominion Energy s exposure to potential concentrations of credit risk results primarily from its energy marketing and price risk management activities. Presented below is a summary of Dominion Energy s credit exposure as of December 31, 2019 for these activities. Gross credit exposure ..."" [2] ""of 2021, with full 
in-service 
in early 2022, with project costs estimated to be approximately $8 billion, excluding financing ",true,"DEF 14A filed 2020-03-25. No obvious executive changes in compensation section. Excerpt: ""intment of Deloitte & Touche LLP as our independent auditor for 2020;

Advisory vote on approval of executive compensation (Say on Pay); 

Two shareholder proposals, if properly presented; and 

Consideration of other business properly presented at the meeting. 

RECORD DATE: You can attend the meeting online at
www.virtualshareholdermeeting.com/D2020 and vote if you were a shareholder of record at the clos"
CASE-CNX-2013-01-02-1a885f,CNX,2013-01-02,trap,-0.739,-1.137,deteriorating,medium,deteriorating,medium,false,CUSTOMER_CONCENTRATION,Environmental concentration risk (selenium contamination liabilities) and long-term contract risks add weight to deteriorating coal mining trajectory.,false,No Form 4 filings found in trailing 12 months.,true,"Found 3 customer concentration references. Key excerpts: [1] ""aims for the resulting environmental contamination and associated liability, as well as for fines and penalties. 

In West Virginia there are areas where drainage from coal mining operations contains concentrations of selenium that without treatment would result in violations of state water quality ..."" [2] ""conditions, as they may change from time to time, or our cost structure) and long-term contracts may not contribute to our profi",false,No DEF 14A proxy statement found before entry date.
CASE-LMT-2021-12-31-65f7ec,LMT,2021-12-31,winner,0.468,0.237,deteriorating,medium,stable,medium,true,MANAGEMENT,Executive changes detected but appear to be normal board refreshment rather than concerning departures; defense contractor with government backstop warrants upgrade from deteriorating to stable.,true,"61 Form 4 filings in trailing 12 months. Buy signals: 0, Sell signals: 0. Net direction: mixed.",false,No customer concentration language found in 10-K text.,true,"DEF 14A filed 2021-03-12. Executive changes detected in compensation section. Excerpt: ""ee Report 

38 

Summary of Directors-Nomin ees' Core Compe tencies 

12 

Director-Nominees 

13 

EXECUTIVE COMPENSATION 

39 

Board Effectiveness, Evaluations and Refreshment 

17 

PROPOSAL 3 ADVISORY VOTE TO APPROVE THE COMPENSATION OF OUR NEOs (SAY-ON-PAY) 

39 

CORPORATE GOVERNANCE 

19 

Independent Lead Director 

19 

Compensation Committee Report 

39 

Message from Independent Lead Director 

20"
CASE-XEL-2021-12-31-858855,XEL,2021-12-31,underperform,0.081,-0.15,stable,medium,stable,medium,false,NONE,"No executive changes, mixed insider trading with no directional signal, no customer concentration risk; regulated utility stable trajectory confirmed.",true,"86 Form 4 filings in trailing 12 months. Buy signals: 0, Sell signals: 0. Net direction: mixed.",false,No customer concentration language found in 10-K text.,true,"DEF 14A filed 2021-04-06. No obvious executive changes in compensation section. Excerpt: ""33 

Directors and Officers 

33 

Largest Shareholders 

34 

Proposal No. 2 

Advisory Vote on 

Executive Compensation 

35 

Compensation Discussion and Analysis 

36 

Highlights 

36 

Establishing Compensation 

38 

Additional Compensation Program Features and Policies 

44 

Report of the Compensation Committee 

47 

Executive Compensation Tables 

48 

Summary Compensation Table 

48 

Grants of "
CASE-BDX-2015-12-31-80f315,BDX,2015-12-31,winner,0.493,0.265,stable,medium,stable,low,false,NONE,No enrichment data found; confidence downgraded to low due to absence of any corroborating EDGAR signals.,false,No Form 4 filings found in trailing 12 months.,false,No customer concentration language found in 10-K text.,false,No DEF 14A proxy statement found before entry date.
CASE-STZ-2019-01-02-ff060d,STZ,2019-01-02,underperform,0.602,-0.297,deteriorating,medium,deteriorating,medium,false,MANAGEMENT,Executive changes detected in proxy reinforce deteriorating view; mixed insider trading provides no offsetting bullish signal.,true,"54 Form 4 filings in trailing 12 months. Buy signals: 0, Sell signals: 0. Net direction: mixed.",false,No customer concentration language found in 10-K text.,true,"DEF 14A filed 2018-06-01. Executive changes detected in compensation section. Excerpt: ""Fees Paid to KPMG LLP 

24

Pre-Approval Policies and
Procedures 

25

Audit Committee Report 

26

EXECUTIVE COMPENSATION 

27

Compensation Discussion and Analysis 

27

Compensation Committee Report 

44

Compensation Tables and Related Information 

45

Summary Compensation Table 

45

Grants of Plan-Based Awards in Fiscal 2018 

47

Outstanding Equity Awards at February 28, 2018 

49

Option Exercises an"
CASE-ACN-2015-12-31-6eb38c,ACN,2015-12-31,mixed,0.425,0.197,stable,medium,stable,low,false,NONE,No enrichment data found; confidence downgraded to low due to complete absence of EDGAR corroboration.,false,No Form 4 filings found in trailing 12 months.,false,No customer concentration language found in 10-K text.,false,No DEF 14A proxy statement found before entry date.
CASE-EFX-2013-01-02-8ad141,EFX,2013-01-02,winner,1.116,0.718,deteriorating,medium,deteriorating,low,false,NONE,No enrichment data found; confidence downgraded to low due to absence of any corroborating signals.,false,No Form 4 filings found in trailing 12 months.,false,No customer concentration language found in 10-K text.,false,No DEF 14A proxy statement found before entry date.
CASE-NBR-2013-01-02-99e64e,NBR,2013-01-02,trap,-0.401,-0.799,stable,low,deteriorating,low,true,MANAGEMENT,Executive changes detected in proxy with aged board members (chairman age 75) suggest governance risk; downgraded from stable to deteriorating for this oilfield services company.,true,"18 Form 4 filings in trailing 12 months. Buy signals: 0, Sell signals: 0. Net direction: mixed.",false,No customer concentration language found in 10-K text.,true,"DEF 14A filed 2012-04-23. Executive changes detected in compensation section. Excerpt: ""Lombardi s
financial expertise in such diverse areas as budgeting, forecasting, risk management and executive compensation provide valuable insight both to the Board and to the Audit and Compensation Committees, on which he
serves. 

6 

Name 

Age 

Position with Nabors, Business Experience and
Qualifications 

James L. Payne 

75 

Director since 1999. Chairman and Chief Executive Officer of Shona Energy Co"
